perturbation,mean_average_precision,indices,mean_normalized_average_precision,p_value,corrected_p_value,below_p,below_corrected_p,-log10(p-value)
AGAP9,1.0,"[1479, 2975, 3250, 3251]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AHCYL1,1.0,"[500, 2443, 3660, 3697]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AKR1C3,1.0,"[242, 572, 2809, 2938]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ALAS1,1.0,"[331, 3345, 3557, 3896]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ALG12,1.0,"[417, 433, 1339, 2599]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ALKBH8,1.0,"[37, 984, 2228, 3455]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ALYREF,1.0,"[2591, 2610, 2703, 4167]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AMIGO3,1.0,"[431, 1799, 1978, 2663]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AMMECR1,1.0,"[439, 617, 1306, 2964]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ANP32B,1.0,"[517, 676, 714, 1587]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AP1M1,1.0,"[197, 1664, 2058, 3092]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AP1S1,1.0,"[600, 2094, 2438, 3456]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AP2A1,1.0,"[488, 796, 1854, 3895]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AP2M1,1.0,"[72, 563, 2074, 2301]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AP2S1,1.0,"[1007, 1209, 2845, 3705]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AP3M1,1.0,"[1043, 1126, 3373, 3928]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AP3M2,1.0,"[1380, 3729, 3954, 4096]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AP3S1,1.0,"[2112, 2445, 3412, 3977]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
APC,1.0,"[784, 3007, 3421, 3623]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AQP7,0.47786747104078314,"[309, 652, 2263, 3199]",0.47650831037652597,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ARGLU1,1.0,"[430, 1460, 1633, 1683]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ARHGAP22,1.0,"[200, 754, 2255, 3728]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ARHGEF9,1.0,"[1980, 2907, 3151, 3190]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ARID5B,1.0,"[350, 788, 1219, 2647]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ARL2,1.0,"[109, 1459, 2442, 3197]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ARNT2,1.0,"[1252, 1568, 2816, 3074]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ARPC2,1.0,"[207, 299, 897, 2973]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ARPC3,1.0,"[1169, 2401, 3224, 4154]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ARPC4,1.0,"[2569, 3168, 3376, 4082]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ARPP19,1.0,"[169, 1315, 1711, 3753]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ASCC3,1.0,"[1549, 2084, 3643, 3670]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ASF1B,1.0,"[1001, 1202, 2374, 3822]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ASNA1,1.0,"[1335, 1823, 1993, 2593]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ASNS,1.0,"[106, 1963, 4077, 4138]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ATAD3A,0.6330492424242424,"[1670, 2195, 2601, 3934]",0.6320940346795526,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ATF6,1.0,"[2215, 3718, 4136, 4189]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ATG9A,1.0,"[1685, 2085, 3418, 4111]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ATIC,0.9666666666666667,"[308, 909, 2474, 3673]",0.9665798968276652,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ATP5F1B,1.0,"[2015, 2476, 2989, 3214]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ATP5ME,1.0,"[82, 1792, 1876, 3050]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ATP6V0A1,1.0,"[52, 1166, 3081, 3585]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ATP6V0A2,1.0,"[1282, 1795, 2135, 3981]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ATP6V1B2,1.0,"[1984, 3427, 3811, 3879]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ATP6V1H,0.9047619047619049,"[1198, 2796, 2807, 4187]",0.9045139909361862,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ATRX,1.0,"[188, 266, 1063, 2077]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ATXN7L3,1.0,"[1322, 1462, 1959, 2714]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ATXN10,1.0,"[444, 516, 2012, 3621]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AURKB,0.36467328053618053,"[1444, 2933, 3651, 3694]",0.3630194646213436,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
B3GAT3,1.0,"[1554, 1791, 1806, 4061]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
B3GNT2,1.0,"[1237, 1265, 2316, 3008]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
B4GALT3,1.0,"[839, 1974, 3002, 3817]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
B4GALT5,1.0,"[1091, 2101, 3321, 4072]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BEND3,0.8149021663172606,"[849, 868, 2182, 3658]",0.8144203390404153,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BEND6,1.0,"[372, 2598, 3686, 3724]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BET1,1.0,"[495, 2362, 4045, 4151]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BLOC1S2,1.0,"[974, 1509, 1856, 2330]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BLOC1S6,1.0,"[458, 1803, 2527, 3252]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BMS1,1.0,"[55, 248, 934, 3223]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BORCS7,1.0,"[827, 1883, 2170, 3009]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BORCS8,1.0,"[710, 1327, 1571, 1741]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BRCA1,1.0,"[174, 569, 2874, 3889]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BRD8,1.0,"[776, 2392, 3238, 3866]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BRD9,1.0,"[624, 649, 2106, 3343]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BRK1,1.0,"[2245, 2496, 2980, 3751]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BTAF1,1.0,"[1293, 2149, 2157, 2946]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BTBD9,1.0,"[1088, 1361, 3537, 3853]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BTF3L4,0.7381944444444444,"[3273, 3465, 3656, 3772]",0.7375129396672868,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BUB1B,1.0,"[14, 761, 874, 2501]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
BUD31,1.0,"[225, 636, 2669, 2799]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
C1D,1.0,"[93, 1199, 3057, 3324]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
C1QBP,1.0,"[185, 1141, 2637, 3212]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
C2orf27B,0.489014412856968,"[619, 1743, 2315, 2828]",0.4876842687431133,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
C5orf22,1.0,"[366, 584, 2375, 3029]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
C5orf30,1.0,"[747, 802, 3679, 4014]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
C12orf45,1.0,"[2051, 2155, 3422, 3479]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CA5A,1.0,"[612, 870, 1861, 2745]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CA7,0.7323784722222222,"[933, 2590, 3654, 3880]",0.7316818279158637,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CA13,1.0,"[390, 2329, 3564, 3819]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CABIN1,1.0,"[2026, 3023, 3055, 3657]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CACNA1D,0.9791666666666666,"[236, 506, 2281, 3814]",0.9791124355172907,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CACNB1,1.0,"[187, 409, 1337, 2707]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CAD,0.7988808426596445,"[199, 1609, 2788, 3506]",0.7983573103525683,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CALM1,1.0,"[756, 1810, 1997, 2841]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CALM3,1.0,"[346, 658, 1729, 3812]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CAPN12,1.0,"[1318, 1537, 3602, 3852]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CAPZB,1.0,"[1412, 2768, 3117, 3247]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CARS,1.0,"[2713, 3712, 3749, 3846]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CASP3,1.0,"[914, 1184, 2738, 3085]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CBWD1,1.0,"[268, 1952, 2464, 3986]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CBWD2,0.7374918540241121,"[573, 3918, 4011, 4139]",0.7368085203372248,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CBWD3,0.9791666666666666,"[718, 1194, 3120, 4128]",0.9791124355172907,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CCDC59,1.0,"[595, 1746, 3726, 4074]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CCDC174,1.0,"[44, 550, 1033, 2344]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CCNB1,1.0,"[976, 1447, 3071, 3725]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CCNC,1.0,"[2104, 2271, 3627, 3969]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CCND3,1.0,"[375, 1329, 1489, 2505]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CCNF,1.0,"[548, 807, 2089, 2747]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CCNG1,1.0,"[190, 733, 944, 3355]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CCNH,1.0,"[1418, 2450, 2525, 3080]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CCR2,1.0,"[486, 2238, 3413, 4039]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CCT3,1.0,"[863, 1120, 1918, 4197]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CCT4,0.8384920634920635,"[671, 1334, 2303, 2424]",0.8380716429626158,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CCT6A,1.0,"[479, 1403, 1457, 1913]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CCT7,1.0,"[925, 2548, 3035]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CD2BP2,1.0,"[56, 314, 2322, 3189]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CD3EAP,0.7902199074074073,"[722, 742, 780, 2966]",0.789673829861608,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CD4,1.0,"[883, 1391, 2822, 4160]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CD5,1.0,"[162, 1366, 1866, 4171]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CD9,1.0,"[1155, 1261, 2222, 2395]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CD164,1.0,"[1308, 1431, 1709, 2982]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CDC5L,1.0,"[277, 905, 999, 2208]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CDC27,0.5072366279253484,"[317, 1062, 2428, 3672]",0.5059539179715257,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CDC45,1.0,"[1274, 2048, 2163, 4169]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CDH15,1.0,"[1610, 2062, 3562, 4006]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CDIPT,1.0,"[1551, 2676, 3149, 4073]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CDK7,1.0,"[735, 1027, 3341, 4166]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CENPA,1.0,"[970, 2096, 2618, 2624]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CENPC,0.9523809523809524,"[157, 196, 982, 2635]",0.9522569954680931,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CENPH,1.0,"[184, 514, 568, 805]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CENPW,1.0,"[508, 2334, 2763, 3932]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CEP55,0.8539772727272728,"[1270, 1926, 2603, 3757]",0.8535971616711923,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CEP85,1.0,"[1394, 2295, 3216, 3935]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CEP135,1.0,"[579, 924, 936, 3381]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CEP350,1.0,"[3481, 3551, 3639, 3665]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CERCAM,1.0,"[616, 798, 1716, 3128]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CERS6,1.0,"[2045, 2972, 3387, 3787]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CFL1,1.0,"[2633, 3645, 3745, 4110]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CHD1,1.0,"[1070, 3460, 3995, 4060]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CHD4,1.0,"[1423, 1971, 3320, 3554]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CHERP,1.0,"[1542, 2840, 3451, 3746]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CHMP1A,1.0,"[603, 1704, 1975, 2167]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CHMP2A,0.5991942670052477,"[1215, 2429, 2641, 3563]",0.5981509315375626,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CHMP4B,1.0,"[152, 2227, 3232, 3370]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CHMP4C,0.9479166666666666,"[229, 307, 2469, 2961]",0.9477810887932268,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CHMP5,1.0,"[745, 2285, 2412, 3780]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CHMP6,1.0,"[1555, 1769, 2649, 3170]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CHMP7,1.0,"[451, 1359, 1850, 3717]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CHST12,1.0,"[725, 1154, 1762, 2862]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CHTF8,1.0,"[613, 1012, 2419, 3907]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CIAO1,0.9791666666666666,"[354, 398, 810, 2343]",0.9791124355172907,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CIAPIN1,1.0,"[81, 1014, 3416, 3966]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CIT,1.0,"[615, 1564, 2507, 2511]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CLASP1,1.0,"[412, 1170, 2592, 2894]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CLDN15,1.0,"[1879, 1964, 2411, 2849]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CLK3,1.0,"[527, 859, 2181, 3351]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CMTR1,1.0,"[231, 971, 2818, 3558]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CNOT1,1.0,"[1096, 1118, 3756, 4179]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CNOT2,1.0,"[1060, 1139, 1545, 2229]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CNOT4,1.0,"[916, 1486, 2173, 3191]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CNOT10,1.0,"[2557, 2680, 3366, 4133]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CNOT11,0.9523809523809524,"[824, 1735, 2207, 3515]",0.9522569954680931,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COA4,1.0,"[467, 794, 1113, 3733]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COA5,1.0,"[1438, 1891, 2631, 3396]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COG3,1.0,"[368, 3090, 3698, 4032]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COG4,1.0,"[938, 2183, 3577, 3863]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COG6,1.0,"[133, 1888, 3984, 4130]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COG7,1.0,"[332, 1523, 1923, 3470]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COG8,0.9791666666666666,"[108, 771, 3541, 3768]",0.9791124355172907,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COL9A1,1.0,"[789, 2545, 3650, 3803]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COL18A1,1.0,"[1666, 1875, 1885, 2240]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COMMD4,1.0,"[640, 1589, 1740, 2379]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COMMD5,1.0,"[1067, 1404, 2280, 3960]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COMTD1,1.0,"[1853, 1948, 2186, 3447]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COPA,1.0,"[1059, 2370, 3371, 4192]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COPB1,1.0,"[89, 587, 921, 3405]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COPB2,1.0,"[29, 659, 1430, 2646]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COPS2,1.0,"[2007, 3157, 3159, 3360]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COPS3,1.0,"[212, 1079, 2432, 3783]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COPS4,0.927536231884058,"[69, 270, 2039, 2588]",0.9273476017992721,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COPS5,1.0,"[684, 1515, 2434]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COPS6,1.0,"[1258, 2399, 3808, 3887]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COPS8,0.9166666666666666,"[586, 853, 1234]",0.9164696207886326,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COPZ1,0.8717948717948718,"[1050, 1722, 2431, 3849]",0.8714611416448661,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COQ4,1.0,"[246, 452, 813, 3185]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COQ7,1.0,"[94, 832, 2571, 3953]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COQ10B,0.862231182795699,"[2209, 2444, 3058, 3916]",0.8618725574530516,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COX7B,0.8142857142857143,"[227, 1594, 2943, 3556]",0.8138022823255631,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COX7C,0.8362193362193362,"[1677, 1713, 2075, 3976]",0.8357929995645019,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COX11,1.0,"[946, 2244, 4007, 4068]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COX14,1.0,"[932, 2821, 2948, 3813]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
COX15,1.0,"[247, 1644, 2363, 2690]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CPOX,0.85103668261563,"[660, 1618, 2447, 2759]",0.8506489169236329,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CPSF2,1.0,"[259, 1004, 1244, 1433]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CPSF3,1.0,"[218, 1128, 1145, 3339]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CPSF6,1.0,"[964, 1928, 2899, 3527]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CRAT,1.0,"[1314, 1956, 2510, 2912]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CREBBP,1.0,"[1392, 1653, 2082, 2652]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CSE1L,1.0,"[651, 930, 1358, 3664]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
CSNK2A2,1.0,"[913, 3334, 3740, 3948]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
