perturbation,mean_average_precision,indices,mean_normalized_average_precision,p_value,corrected_p_value,below_p,below_corrected_p,-log10(p-value)
AACS,1.0,"[634, 1294, 1458, 2099]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AARS,1.0,"[1522, 2785, 3448, 4132]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AATF,1.0,"[24, 787, 2164, 2219]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ABCE1,1.0,"[911, 1276, 1512, 4162]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ABHD10,1.0,"[3276, 3305, 3480, 3761]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ABHD16A,1.0,"[1023, 1590, 1954, 2352]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ACSL4,1.0,"[210, 421, 2532, 3175]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ACSS2,1.0,"[1388, 1428, 2542, 2729]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ACTR3,1.0,"[406, 1134, 1601, 3985]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ADAMTS4,1.0,"[724, 818, 1436, 1552]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ADAMTS18,1.0,"[793, 1647, 3113, 3401]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ADAT3,1.0,"[40, 1794, 2513, 2715]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ADRA2C,1.0,"[303, 1107, 1922, 3911]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ADRB2,0.8861111111111111,"[998, 1348, 1646, 2884]",0.8858146474945225,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ADRM1,1.0,"[1317, 1540, 1833, 2717]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
ADSS,1.0,"[282, 1386, 3202, 4196]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
AGAP4,1.0,"[1316, 2534, 2997, 3148]",1.0,9.99990000099999e-06,1.0040019960883641e-05,True,True,4.998265423755441
