mean_average_precision,mean_normalized_average_precision,p_value,corrected_p_value,below_p,below_corrected_p,complex_num,-log10(p-value)
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,1,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,2,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,3,5.000004342923105
0.6720622480967309,0.6710744837837692,9.99990000099999e-06,9.99990000099999e-06,True,True,4,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,5,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,6,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,7,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,8,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,9,5.000004342923105
0.28125,0.2805298096192385,0.003109968900310997,0.003109968900310997,True,True,10,2.5072439538962668
0.7122645217038398,0.7081748803879553,9.99990000099999e-06,9.99990000099999e-06,True,True,11,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,12,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,13,5.000004342923105
0.716026563536139,0.7122824918586236,9.99990000099999e-06,9.99990000099999e-06,True,True,14,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,15,5.000004342923105
0.9448412698412699,0.944563811440069,9.99990000099999e-06,9.99990000099999e-06,True,True,16,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,17,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,18,5.000004342923105
0.5555555555555556,0.5551102204408818,0.0010399896001039989,0.0010399896001039989,True,True,19,2.982971003624324
0.08450429352068696,0.0835869631534732,0.010999890001099988,0.010999890001099988,True,True,20,1.9586116577648793
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,21,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,22,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,23,5.000004342923105
0.8851282051282052,0.8846664089679166,9.99990000099999e-06,9.99990000099999e-06,True,True,24,5.000004342923105
0.8231742343086365,0.8221058006790815,9.99990000099999e-06,9.99990000099999e-06,True,True,25,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,26,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,27,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,28,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,29,5.000004342923105
0.9833333333333333,0.9832494969818913,9.99990000099999e-06,9.99990000099999e-06,True,True,30,5.000004342923105
0.6225882088960962,0.6210709755650253,9.99990000099999e-06,9.99990000099999e-06,True,True,31,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,32,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,33,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,34,5.000004342923105
0.38539676039676035,0.38416385520196955,0.0022199778002219978,0.0022199778002219978,True,True,35,2.653651368472466
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,36,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,37,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,38,5.000004342923105
1.0,1.0,9.99990000099999e-06,9.99990000099999e-06,True,True,39,5.000004342923105
