perturbation,mean_average_precision,indices,mean_normalized_average_precision,p_value,corrected_p_value,below_p,below_corrected_p,-log10(p-value)
AACS,0.004974771141312389,"[634, 1294, 1458, 2099]",0.0023846257739973033,0.06739932600673994,0.0686334947433842,False,False,1.1634638867406015
AARS,1.0,"[1522, 2785, 3448, 4132]",1.0,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
AATF,0.18153819883354116,"[24, 787, 2164, 2219]",0.1794076648720583,0.0007199928000719992,0.0009558525104404128,True,True,3.0196091148822912
ABCE1,1.0,"[911, 1276, 1512, 4162]",1.0,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ABHD10,0.01664267438095763,"[3276, 3305, 3480, 3761]",0.014082901676210222,0.015909840901590984,0.01678161300578775,True,True,1.7751662982244971
ABHD16A,0.32475258147261377,"[1023, 1590, 1954, 2352]",0.32299484817885965,0.0006999930000699993,0.0009558525104404128,True,True,3.0196091148822912
ACSL4,0.4388076006973605,"[210, 421, 2532, 3175]",0.4373467634732698,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ACSS2,0.47434087651478957,"[1388, 1428, 2542, 2729]",0.47297253578935505,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ACTR3,0.7555555555555555,"[406, 1134, 1601, 3985]",0.7549192434028779,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ADAMTS4,0.19567632022855258,"[724, 818, 1436, 1552]",0.19358258914258658,0.0007199928000719992,0.0009558525104404128,True,True,3.0196091148822912
ADAMTS18,0.012898010055313497,"[793, 1647, 3113, 3401]",0.01032848963294656,0.021299787002129977,0.022325745328934145,True,True,1.6511940335887945
ADAT3,0.25633595897045364,"[40, 1794, 2513, 2715]",0.2544001306971134,0.0006999930000699993,0.0009558525104404128,True,True,3.0196091148822912
ADRA2C,0.10530529460199356,"[303, 1107, 1922, 3911]",0.10297631913570708,0.0023499765002349977,0.002775366677887745,True,True,2.556679630320361
ADRB2,0.04883484526050544,"[998, 1348, 1646, 2884]",0.04635887184028784,0.004819951800481995,0.005366820636576727,True,True,2.270282918938165
ADRM1,1.0,"[1317, 1540, 1833, 2717]",1.0,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ADSS,0.23342192993957123,"[282, 1386, 3202, 4196]",0.2314264542679344,0.0006999930000699993,0.0009558525104404128,True,True,3.0196091148822912
AGAP4,0.409292328042328,"[1316, 2534, 2997, 3148]",0.4077546597545464,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
AGAP9,0.3611111111111111,"[1479, 2975, 3250, 3251]",0.35944802253024893,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
AHCYL1,0.7381161236424394,"[500, 2443, 3660, 3697]",0.7374344149887804,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
AKR1C3,0.013467192390907327,"[242, 572, 2809, 2938]",0.010899153604329049,0.02016979830201698,0.021163488574757857,True,True,1.6744127419351156
ALAS1,0.1546873084726868,"[331, 3345, 3557, 3896]",0.1524868790881942,0.0015299847001529984,0.0018921152251892114,True,True,2.7230524196572112
ALG12,0.005862980245432851,"[417, 433, 1339, 2599]",0.0032751469709466907,0.05464945350546495,0.055934665602219234,False,False,1.2523189539456656
ALKBH8,0.0024392393995261497,"[37, 984, 2228, 3455]",-0.0001575061982194764,0.16962830371696283,0.1706511879604822,False,False,0.7678906841044377
ALYREF,0.4419980131921203,"[2591, 2610, 2703, 4167]",0.44054548091538515,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
AMIGO3,0.33072427643831004,"[431, 1799, 1978, 2663]",0.32898208803487816,0.0006999930000699993,0.0009558525104404128,True,True,3.0196091148822912
AMMECR1,0.4242789704097949,"[439, 617, 1306, 2964]",0.4227803137783752,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ANP32B,0.527312659401527,"[517, 676, 714, 1587]",0.5260822092682736,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
AP1M1,1.0,"[197, 1664, 2058, 3092]",1.0,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
AP1S1,0.024956195925329907,"[600, 2094, 2438, 3456]",0.022418064108360718,0.01006989930100699,0.010827034586796989,True,True,1.9654904758715104
AP2A1,0.7791666666666667,"[488, 796, 1854, 3895]",0.7785918164832817,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
AP2M1,1.0,"[72, 563, 2074, 2301]",1.0,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
AP2S1,0.6458373289860632,"[1007, 1209, 2845, 3705]",0.6449154098477365,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
AP3M1,0.3255597967329704,"[1043, 1126, 3373, 3928]",0.3238041646973618,0.0006999930000699993,0.0009558525104404128,True,True,3.0196091148822912
AP3M2,0.12084319856186933,"[1380, 3729, 3954, 4096]",0.11855466973833342,0.0015499845001549985,0.0018921152251892114,True,True,2.7230524196572112
AP3S1,0.2940723879021073,"[2112, 2445, 3412, 3977]",0.2922347911446538,0.0006999930000699993,0.0009558525104404128,True,True,3.0196091148822912
APC,0.5336708466727289,"[784, 3007, 3421, 3623]",0.5324569475060514,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
AQP7,0.017819965611538726,"[309, 652, 2263, 3199]",0.015263257507907378,0.014859851401485985,0.015740435188240712,True,True,1.8029832645284922
ARGLU1,1.0,"[430, 1460, 1633, 1683]",1.0,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ARHGAP22,0.6482142857142857,"[200, 754, 2255, 3728]",0.6472985540205377,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ARHGEF9,0.29365073923406976,"[1980, 2907, 3151, 3190]",0.291812044885005,0.0006999930000699993,0.0009558525104404128,True,True,3.0196091148822912
ARID5B,0.09638269255413381,"[350, 788, 1219, 2647]",0.0940304907055523,0.0023599764002359977,0.002775366677887745,True,True,2.556679630320361
ARL2,0.45466499540601335,"[109, 1459, 2442, 3197]",0.45324543648949817,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ARNT2,0.08935614253979825,"[1252, 1568, 2816, 3074]",0.08698564991281234,0.0023899761002389975,0.002775366677887745,True,True,2.556679630320361
ARPC2,0.5845328282828283,"[207, 299, 897, 2973]",0.583451327694819,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ARPC3,0.6374985374985376,"[1169, 2401, 3224, 4154]",0.6365549116923657,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ARPC4,0.5466117216117217,"[2569, 3168, 3376, 4082]",0.545431508774094,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ARPP19,0.2724581380961382,"[169, 1315, 1711, 3753]",0.27056427738941063,0.0006999930000699993,0.0009558525104404128,True,True,3.0196091148822912
ASCC3,0.11267300748793659,"[1549, 2084, 3643, 3670]",0.11036321087947777,0.0017899821001789982,0.0021613655998542545,True,True,2.6652717650141664
ASF1B,0.4490098126894081,"[1001, 1202, 2374, 3822]",0.4475755327940777,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ASNA1,0.5875250529770902,"[1335, 1823, 1993, 2593]",0.5864513414347302,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ASNS,1.0,"[106, 1963, 4077, 4138]",1.0,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ATAD3A,0.500990901096569,"[1670, 2195, 2601, 3934]",0.49969193292140485,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ATF6,0.08279297985159684,"[2215, 3718, 4136, 4189]",0.08040540268751706,0.003109968900310997,0.0035864963931005857,True,True,2.44532960159344
ATG9A,1.0,"[1685, 2085, 3418, 4111]",1.0,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ATIC,0.01858852037387237,"[308, 909, 2474, 3673]",0.016033812891430767,0.014149858501414985,0.015020157327588973,True,True,1.823325518320805
ATP5F1B,1.0,"[2015, 2476, 2989, 3214]",1.0,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ATP5ME,0.7529761904761905,"[82, 1792, 1876, 3050]",0.7523331639907329,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ATP6V0A1,0.8933333333333333,"[52, 1166, 3081, 3585]",0.8930556698485286,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ATP6V0A2,0.3494527052970334,"[1282, 1795, 2135, 3981]",0.34775926877630614,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ATP6V1B2,0.9513888888888888,"[1984, 3427, 3811, 3879]",0.9512623495403449,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ATP6V1H,0.33392667890032335,"[1198, 2796, 2807, 4187]",0.3321928266552729,0.0005699943000569994,0.0009415252382129644,True,True,3.0261680339375805
ATRX,0.7638453815261044,"[188, 266, 1063, 2077]",0.7632306485793712,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ATXN7L3,0.53155593033355,"[1322, 1462, 1959, 2714]",0.530336525838365,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
ATXN10,0.02296449112824111,"[444, 516, 2012, 3621]",0.020421174714134464,0.011169888301116988,0.011945574988694557,True,True,1.922792941066282
AURKB,0.3405040006330551,"[1444, 2933, 3651, 3694]",0.3387872697824389,2.999970000299997e-05,5.013305459599828e-05,True,True,4.299875833113434
B3GAT3,0.096791460519633,"[1554, 1791, 1806, 4061]",0.09444032273296815,0.0023599764002359977,0.002775366677887745,True,True,2.556679630320361
B3GNT2,0.7056640827397285,"[1237, 1265, 2316, 3008]",0.7048978983351375,9.99990000099999e-06,1.6823361178152925e-05,True,True,4.774087231172335
B4GALT3,0.2545202161550896,"[839, 1974, 3002, 3817]",0.2525796613303966,0.0006999930000699993,0.0009558525104404128,True,True,3.0196091148822912
