group,well,area,circularity
siCCT3,B4,365.0,0.6831855479372285
siCCT3,B4,1251.0,0.6934798856687997
siCCT3,B4,321.0,0.7873700735541186
siCCT3,B4,812.0,0.5480611589998591
siCCT3,B4,1443.0,0.7694550266137596
siCCT3,B4,94.0,0.5502763807823926
siCCT3,B4,568.0,0.5923888412896878
siCCT3,B4,296.0,0.7640093026802685
siCCT3,B4,2373.0,0.8114077219058557
siCCT3,B4,123.0,0.71003631664426
siCCT3,B4,67.0,0.7812199597807277
siCCT3,B4,250.0,0.7215816226059552
siCCT3,B4,1053.0,0.5072165631878259
siCCT3,B4,1100.0,0.37998578044857045
siCCT3,B4,1438.0,0.6200605349912076
siCCT3,B4,1661.0,0.6068360016962564
siCCT3,B4,20.0,0.479752610908416
siCCT3,B4,119.0,0.7136320087262686
siCCT3,B4,459.0,0.870894828402778
siCCT3,B4,37.0,0.7711837254796966
siCCT3,B4,1545.0,0.7647286994538651
siCCT3,B4,184.0,0.5455499212671812
siCCT3,B4,1516.0,0.72488874607074
siCCT3,B4,1479.0,0.7023762922163631
siCCT3,B4,18.0,0.9260160172208917
siCCT3,B4,210.0,0.6061285629890021
siCCT3,B4,401.0,0.7775854812391468
siCCT3,B4,368.0,0.8071211620704174
siCCT3,B4,263.0,0.49620032926299673
siCCT3,B4,1185.0,0.5176823584811224
siCCT3,B4,29.0,0.557386830579088
siCCT3,B4,31.0,0.5379345809153222
siCCT3,B4,74.0,0.5007154446354356
siCCT3,B4,1720.0,0.777882384805599
siCCT3,B4,600.0,0.2760908758357382
siCCT3,B4,901.0,0.7918846058220006
siCCT3,B4,536.0,0.2637784464551225
siCCT3,B4,203.0,0.292117846418205
siCCT3,B4,19.0,0.7121327818171799
siCCT3,B4,18.0,0.658014798340655
siCCT3,B4,23.0,0.6094292406809805
siCCT3,B4,16.0,0.8848956233682581
siCCT3,B4,17.0,0.63717143636274
siCCT3,B4,1919.0,0.772110012268702
siCCT3,B4,17.0,0.41611195844097304
siCCT3,B4,15.0,0.6995999639827412
siCCT3,B4,23.0,0.6920160033506906
siCCT3,B4,16.0,0.38380208872673277
siCCT3,B4,29.0,0.5718454114829943
siCCT3,B4,821.0,0.33277531244741876
siCCT3,B4,432.0,0.8764733011404181
siCCT3,B4,20.0,0.5703345804863068
siCCT3,B4,15.0,0.6995999639827412
siCCT3,B4,26.0,0.49972612396745825
siCCT3,B4,28.0,0.42401836428390854
siCCT3,B4,116.0,0.3247418308639855
siCCT3,B4,965.0,0.2557880186227665
siCCT3,B4,208.0,0.27642268968383693
siCCT3,B4,20.0,0.6508144449320088
siCCT3,B4,15.0,0.4513147847939286
siCCT3,B4,1408.0,0.43038974619944864
siCCT3,B4,557.0,0.26124722014272683
siCCT3,B4,30.0,0.6137307024694157
siCCT3,B4,25.0,0.4095626689804744
siCCT3,B4,1044.0,0.39608901408414937
siCCT3,B4,21.0,0.5401760100455203
siCCT3,B4,21.0,0.6463086570048587
siCCT3,B4,50.0,0.4490410533329321
siCCT3,B4,19.0,0.5716653940723095
siCCT3,B4,27.0,0.28137784578313246
siCCT3,B4,260.0,0.6623261263592765
siCCT3,B4,243.0,0.59446270877157
siCCT3,B4,128.0,0.44244781168412906
siCCT3,B4,726.0,0.7161246857057352
siCCT3,B4,1987.0,0.5703714301643987
siCCT3,B4,384.0,0.46546377980866416
siCCT3,B4,712.0,0.8244486674797961
siCCT3,B4,2177.0,0.662443749312931
siCCT3,B4,17.0,0.7418328990700586
siCCT3,B4,1102.0,0.709725182297753
siCCT3,B4,54.0,0.7466306822169677
siCCT3,B4,1096.0,0.7750251406566974
